NAME,PER,MASS,SEP,DIST,MSTAR,RSTAR,TEFF,FE
HD 72659 b,3658,3.1741,4.75375,49.8256,1.068,1.34287,5919.51,-0.00448106
BD +14 4559 b,268.94,1.51929,0.775866,48.3559,0.86,0.725686,4814,0.1
HD 1605 b,577.9,0.96903,1.48605,84.6,1.31,3.8,4757,0.21
Kepler-79 b,13.485,0.0343,0.114456,,1.1,1.1,6187,-0.263
Kepler-202 b,4.069427,0.0121124,0.0498841,,,0.667,4668,
Kepler-709 b,16.08524954,0.0256089,0.115768,668,0.8,0.77,5071,-0.08
HD 197037 b,1035.7,0.807324,2.07477,32.3311,1.11,1.09866,6150,-0.2
HD 70642 b,2068,1.90944,3.18072,28.0662,1.002,1.03139,5705.54,0.164227
KELT-2 A b,4.1137912,1.52064,0.0549707,128.5,1.308,1.828,6151,-0.018
Kepler-10 b,0.837495,0.0142824,0.0167573,173,0.895,1.056,5627,-0.15
Kepler-208 e,16.259458,0.0112762,0.125606,,,1.314,6092,
Kepler-1365 b,7.69993485,0.00215846,0.0763129,541,1,1.05,5770,0.03
Kepler-270 c,25.262887,0.0130508,0.168498,,,1.461,6067,
Kepler-966 b,99.747622,0.0557908,0.423716,773,1.02,1.02,5840,0.04
Kepler-1010 b,34.2685705,0.0176872,0.196353,610,0.86,0.82,5253,-0.01
Kepler-811 b,23.58447697,0.0222358,0.161485,847,1.01,1.24,5747,0.05
Kepler-225 c,18.794234,0.0135483,0.138343,,,0.48,3682,
Kepler-1305 b,13.5630972,0.0138656,0.11018,1343,0.97,0.96,5701,0.01
Kepler-150 d,12.56093,0.0235009,0.105752,,,0.939,5560,
Kepler-1322 b,0.96286738,0.0120099,0.0184246,1217,0.9,0.87,5488,-0.07
Kepler-405 b,10.613839,0.015437,0.0945195,,,0.893,5818,
Kepler-208 b,4.22864,0.0121124,0.0511769,,,1.314,6092,
M 67 YBP 1194 b,6.958,0.346328,0.0715732,843.335,1.01,1.01765,5780,0.023
Kepler-1084 b,2.05333679,0.00422224,0.0328337,427,1.12,1.28,6113,-0.02
Kepler-616 b,9.99761851,0.0188877,0.0902152,1019,0.98,0.97,5753,-0.02
Kepler-325 d,38.715185,0.0235009,0.223972,,,1.003,5752,
Kepler-1065 c,2.37030743,0.0119381,0.0340815,1078,0.94,0.93,5635,-0.01
Kepler-1464 c,5.32786292,0.00289089,0.0600955,692,1.02,1.01,5828,0.03
Kepler-340 c,22.824669,0.0341953,0.157474,,,1.85,6620,
Kepler-682 b,12.61190667,0.164047,0.103131,951,0.92,0.89,5559,-0.05
Kepler-507 b,3.56809693,0.00730709,0.0480157,410,1.16,1.32,6113,0.06
HD 40307 c,9.62,0.0211468,0.0800702,12.9955,0.74,0.839223,4977,-0.31
HD 142 b,350.3,1.3057,1.04292,25.7136,1.232,1.5121,6248.6,0.0997966
Kepler-257 b,2.382667,0.0210192,0.0349126,,,1.037,5180,
Kepler-976 b,105.9564148,0.0503054,0.418342,1020,0.87,0.83,5232,0.07
WASP-10 b,3.0927616,3.19144,0.0384536,90.0901,0.79,0.698,4675,0.03
Kepler-982 b,15.7738221,0.0170154,0.129335,702,1.16,1.29,6139,0.05
GJ 328 b,4100,2.3,4.43476,19.8,0.69,,3900,
WASP-17 b,3.735433,0.508547,0.0499354,400,1.19,1.2,6550,-0.25
HAT-P-17 b,10.338523,0.530158,0.0882385,90.0009,0.857,0.837,5246,0
Kepler-162 b,6.919798,0.00656354,0.0710671,,,0.958,5816,
Kepler-487 c,38.6519976,0.0219292,0.216804,835,0.91,0.88,5444,0
HD 67087 b,352.2,3.09805,1.08217,88.8,1.36,1.55,6330,0.25
Kepler-293 c,54.155743,0.0463015,0.280136,,,0.957,5804,
HD 102329 b,778.1,4.47808,1.80892,158.003,1.3,7.27206,4745,0.05
Kepler-872 b,2.57885507,0.0147338,0.0374071,1114,1.05,1.08,5902,0.04
Kepler-1542 d,5.99273738,0.0018073,0.0632508,336,0.94,0.99,5564,0.06
