NAME,PER,MASS,SEP,DIST,MSTAR,RSTAR,TEFF,FE
Kepler-1252 b,15.0540329,0.0123746,0.121659,828,1.06,1.09,5949,0.03
Kepler-292 f,20.834237,0.0179955,0.148181,,,0.826,5299,
Kepler-847 b,2.3432319,0.00518721,0.0324471,529,0.83,0.77,4940,0.15
Kepler-1355 b,1.28958811,0.0107116,0.0222195,963,0.88,0.83,5352,-0.04
Kepler-20 e,6.098493,0.00175601,0.063351,290,0.912,0.944,5466,0.02
Kepler-296 d,19.850242,0.0172808,0.143477,,,0.557,4249,
HD 149143 b,4.072,1.32811,0.0530508,62.0347,1.2,1.71219,5884,0.26
Kepler-688 b,3.89593684,0.696016,0.0481308,1247,0.98,0.96,5715,0.02
Kepler-62 d,18.16406,0,0.119499,368,0.69,0.64,4925,-0.37
Kepler-713 b,7.411141,0.019398,0.0738933,1003,0.98,0.99,5785,-0.03
HD 79498 b,1966.1,1.34632,3.13296,46.1042,1.06,1.12815,5740,0.24
Kepler-89 e,54.32031,0.0409024,0.304548,,1.277,1.52,6182,0.0228
Kepler-722 b,4.09357325,0.0213319,0.0505771,1375,1.03,1.05,5863,0.02
Kepler-556 b,11.72292176,0.0169068,0.100994,729,1,0.98,5740,0.03
Kepler-883 b,12.98495573,0.0131362,0.110239,549,1.06,1.09,6116,-0.13
Kepler-1181 b,4.89337519,0.0117248,0.0594394,867,1.17,1.3,6176,0.03
Kepler-1336 c,5.77721211,0.0126737,0.061725,822,0.94,1.3,5512,0.05
Kepler-897 b,8.0472642,0.0183949,0.079369,1147,1.03,1.04,5839,0.04
Kepler-298 d,77.473633,0.0196646,0.355666,,,0.582,4465,
Kepler-269 b,5.326718,0.019315,0.0596916,,,0.959,5847,
Kepler-248 b,6.308205,0.0272098,0.0668155,,,0.831,5190,
HD 181433 c,962,0.640416,1.75604,26.7594,0.78,1.00831,4962,0.33
Kepler-1375 b,3.3004192,0.0128259,0.0493278,1238,1.47,1.78,6704,0.09
Kepler-454 b,10.57,0.0215859,0.0951314,,1.028,1.066,5701,0.27
70 Vir b,116.6884,7.46144,0.483601,17.9856,1.101,1.59775,5544.6,-0.0122615
HD 102365 b,122.1,0.0509774,0.463328,9.22084,0.89,0.828702,5630,-0.26
BD -08 2823 b,5.6,0.045941,0.0558236,42.4989,0.74,1.27853,4746,-0.07
Kepler-1276 b,12.5720095,0.0053608,0.110538,587,1.14,1.21,6188,-0.02
Kepler-797 b,27.07237711,0.0162741,0.174066,752,0.96,0.95,5680,-0.02
Kepler-160 b,4.309427,0.0115417,0.0518266,,,0.884,5857,
Kepler-1066 b,1.93155984,0.0181548,0.03015,399,0.98,0.98,5762,-0.03
Kepler-1318 b,213.257663,0.028747,0.629,475,0.73,0.7,4598,-0.01
CoRoT-11 b,2.99433,2.34813,0.0440549,558.971,1.27,1.37,6440,-0.03
Kepler-369 c,14.871572,0.00960182,0.118353,,,0.471,3591,
Kepler-142 d,41.809118,0.0161415,0.235751,,,1.269,5790,
Kepler-1415 b,0.63642408,0.00709482,0.0139284,1066,0.89,0.84,5267,0.12
Kepler-398 b,4.081423,0.00225059,0.0499821,,,0.613,4493,
Kepler-443 b,177.6693,0.0177875,0.558942,779,0.738,0.706,4723,-0.01
Kepler-746 b,3.48159251,0.00422224,0.0435651,450,0.91,0.93,5418,0.09
Kepler-1348 b,27.5722742,0.0142915,0.180967,1033,1.04,1.04,5911,-0.01
Kepler-299 d,15.054786,0.0136944,0.119323,,,1.032,5617,
GJ 436 b,2.64385,0.0726979,0.0287188,10.141,0.452,0.464,3350,
Kepler-1231 b,10.41725184,0.00991268,0.0936589,948,1.01,1,5778,0.06
Kepler-142 c,4.761702,0.0245625,0.0553921,,,1.269,5790,
Kepler-401 d,184.256405,0.0172355,0,0,0,1.33,6117,-0.297
Kepler-815 b,8.57503552,0.055479,0.0883216,1199,1.25,3.42,5028,-0.03
Kepler-578 b,1.6168837,0.0147338,0.0257374,568,0.87,0.83,5334,-0.03
Kepler-181 c,4.302149,0.014692,0.0517683,,,0.749,5333,
XO-2S b,18.157,0.259,0.134393,,0.982,1.02,5399,0.39
Kepler-364 b,25.745718,0.011604,0.170638,,,1.284,6108,
Kepler-173 c,8.005777,0.0188614,0.0783205,,,0.949,6031,
Kepler-609 b,6.52121067,0.0337813,0.070302,1143,1.09,1.14,5971,0.06
Kepler-1606 b,196.435224,0.015383,0.638509,880,0.9,0.86,5422,0.01
Kepler-290 b,14.589347,0.0169862,0.11685,,,0.743,5147,
Kepler-926 b,52.0688601,0.0175728,0.273799,771,1.01,1.01,5806,0.03
Kepler-544 b,21.41616926,0.0157709,0.158582,797,1.16,1.22,6206,0.02
WASP-37 b,3.577469,1.79362,0.0446312,343,0.925,1.003,5800,-0.4
Kepler-223 c,9.848183,0.0147725,0.0899174,,,1.017,5829,
HD 6718 b,2496,1.5591,3.55427,54.8546,0.96,0.956629,5746,-0.06
Kepler-224 e,18.643577,0.0145328,0.137602,,,0.676,5018,
Kepler-322 c,4.337234,0.0123736,0.0520493,,,0.89,5388,
HD 33636 b,2127.7,9.26951,3.26519,28.3688,1.017,1.03374,5904.28,-0.125591
Kepler-477 b,11.11990653,0.015383,0.093078,367,0.87,0.79,5240,-0.04
Kepler-1327 b,14.88801098,0.0132944,0.119224,688,1.02,1.03,5885,-0.03
Kepler-163 c,21.347262,0.0170837,0.150603,,,0.917,5776,
Kepler-1128 b,61.6178167,0.0412428,0.29908,1163,0.94,0.91,5543,0.04
HAT-P-40 b,4.457243,0.6202,0.060845,501,1.512,2.206,6080,0.22
HD 240237 b,745.7,5.31949,1.91887,,1.69,,4361,-0.26
Kepler-494 b,8.02511821,0.218701,0.0809789,862,1.1,1.26,6007,0.02
Kepler-169 f,87.090195,0.0206381,0.38452,,,0.763,4997,
Kepler-283 b,11.008151,0.0158724,0.0968462,,,0.566,4351,
rho CrB b,39.8449,1.06409,0.225692,17.2354,0.965,1.10084,5822.58,-0.198985
Kepler-214 b,15.660544,0.0210192,0.122502,,,1.352,6169,
Kepler-700 b,80.8720639,0.12013,0.363536,1061,0.98,0.96,5692,0.04
Kepler-1549 b,214.886545,0.020474,0.672832,792,0.88,0.84,5324,0.02
Kepler-730 b,6.49168426,0.542157,0.0681049,1455,1,1.01,5726,0.07
Kepler-1515 b,214.3114164,0.383964,0.764923,504,1.3,1.41,6511,0.07
Kepler-1424 b,29.6091744,0.00485109,0.188549,620,1.02,1.07,5838,0.01
Kepler-314 b,2.461069,0.00150361,0.0356743,,,0.95,5378,
Kepler-188 c,5.996553,0.0303861,0.0645963,,,1.141,6021,
Kepler-731 b,3.85560355,1,0.0485975,1311,1.03,1.06,5849,0.04
Kepler-1338 b,0.93511806,0.00215846,0.018961,619,1.04,1.05,5909,0
Kepler-233 b,8.472382,0.0188614,0.0813349,,,0.758,5360,
Kepler-1530 c,5.3227406,0.0122275,0.0580264,552,0.92,0.88,5477,0.03
Kepler-118 b,7.518496,0.014454,0.0751093,,,1.094,5274,
Kepler-1440 b,39.859484,0.00648186,0.226831,685,0.98,0.96,5698,0.04
Kepler-1513 b,160.88465087,0.249782,0.576981,384,0.99,0.97,5617,0.14
Kepler-110 b,12.691112,0.013476,0.106481,,,1.149,5960,
HD 11977 b,711,7.40012,2.063,67.0691,2.31,8.14661,5067,-0.16
Kepler-1192 b,25.2034787,0.0181548,0.159985,1108,0.86,0.83,5438,-0.16
Kepler-1382 b,16.3583055,0.0138656,0.139726,730,1.36,1.72,6161,0.3
HD 73534 b,1770,1.06828,3.0184,81.0373,1.17,2.90137,4884,0.16
Kepler-689 b,22.36656079,0.0250657,0.150552,1044,0.91,0.88,5518,-0.01
Kepler-1643 b,5.34264507,0.0174594,0.058171,414,0.92,0.88,5508,-0.01
Kepler-195 b,8.307872,0.0150172,0.0802786,,,0.775,5329,
Kepler-498 b,9.61375356,0.027323,0.0878909,746,0.98,0.96,5744,-0.04
Kepler-50 c,9.3761368,0.0234642,0.0932375,,1.23,1.88,6058,
Kepler-863 b,15.59461874,0.0252452,0.120507,1145,0.96,0.95,5678,-0.03
Kepler-1464 b,31.7785901,0.0123008,0.19765,692,1.02,1.01,5828,0.03
HD 164604 b,606.4,2.6885,1.30299,41.0678,0.8,,,-0.18
Kepler-1356 b,0.63400294,0.0124263,0.0135188,881,0.82,0.78,5106,-0.02
Kepler-359 b,25.563222,0.0380002,0.169831,,,1.086,6248,
TRAPPIST-1 b,1.510848,0.00461509,0.0111033,12.1095,0.08,0.117,2550,0.04
Kepler-1201 b,15.18725932,0.0173469,0.125745,1202,1.15,1.24,6177,0.03
Kepler-1594 b,2.71603809,0.00364938,0.0388448,1100,1.06,1.08,5946,0.03
Kepler-642 b,4.41745855,0.0252452,0.0589428,1022,1.4,1.66,6570,0.06
Kepler-359 d,77.095691,0.0520795,0.354508,,,1.086,6248,
Kepler-115 b,2.403679,0.00396389,0.0351175,,,1.205,5979,
OGLE-05-071L b,3600,3.8,3.6,3200,0.46,,,
OGLE235-MOA53 b,,2.6,4.3,5200,0.63,,,
HD 37124 c,885.5,0.648109,1.70993,33.67,0.85,0.772275,5500.24,-0.441617
HD 217107 c,4270,2.61546,5.33414,19.857,1.108,1.5,5704.36,0.389294
Kepler-1323 b,0.92990668,0.0124263,0.0197027,530,1.18,1.4,6169,0.02
HD 74156 b,51.638,1.77342,0.291535,64.433,1.238,1.345,6067.98,0.130772
Kepler-928 b,3.9324613,0.0118667,0.0439026,532,0.73,0.7,4700,-0.11
Kepler-180 b,13.817124,0.0117855,0.11269,,,1.063,5731,
HD 103774 b,5.8881,0.368054,0.070273,55.4631,1.335,1.43364,6489,0.28
Kepler-43 b,3.024095,3.23143,0.0449294,1950,1.32,1.42,6041,0.33
Kepler-76 b,1.545,1.96,0.0271768,,1.12,1.12,6409,-0.033
Kepler-310 b,13.930698,0.00538981,0.113307,,,0.876,5797,
Kepler-222 c,10.08881,0.0710944,0.0913762,,,0.869,5433,
Kepler-1154 c,8.45808312,0.0181548,0.0877495,1531,1.26,1.43,6327,0.04
Kepler-538 b,81.73780699,0.017125,0.363618,165,0.96,0.9,5650,-0.05
KELT-6 b,7.8457,0.43122,0.0794132,222,1.085,1.58,6102,-0.281
WASP-13 b,4.3530135,0.473883,0.0537034,155,1.09,1.574,5950,0
Kepler-683 b,2.53918318,0.0145548,0.035933,976,0.96,0.95,5703,-0.03
Kepler-84 c,12.883,0.096,0.107552,,1,1.43,5755,-0.131
Kepler-918 b,4.85386933,0.0128259,0.0580906,1245,1.11,1.14,6028,0.06
Kepler-569 b,34.18890521,0.029815,0.202661,645,0.95,0.93,5616,0.01
HD 13931 b,4218,1.88123,5.14931,44.2282,1.022,1.22417,5829,0.03
Kepler-58 d,40.101371,0.0258466,0.229287,,,1.127,6099,
HAT-P-18 b,5.508023,0.197205,0.0559503,166,0.77,0.749,4803,0.1
Kepler-672 b,38.3774623,0.01966,0.218893,1011,0.95,0.92,5627,-0.01
Kepler-357 b,6.475434,0.0135483,0.0679912,,,0.834,5036,
Kepler-1518 b,5.11177904,0.0277215,0.0670648,1140,1.54,1.88,6846,0.06
Kepler-971 b,9.59070716,0.0158698,0.084658,345,0.88,0.85,5431,-0.06
Kepler-406 c,4.62332,0.00857506,0.0555527,,1.07,1.07,5538,0.18
HD 155358 c,391.9,0.807031,1.00082,44.1112,0.87,1.49875,5760,-0.68
WASP-43 b,0.813475,1.77609,0.0142363,80,0.58,0.598,4400,-0.05
Kepler-1570 b,26.548955,0.00364938,0.169395,463,0.92,0.89,5550,-0.04
Kepler-159 c,43.595792,0.0351084,0.242421,,,0.663,4625,
Kepler-39 b,21.0874,18.1805,0.155007,1200.05,1.1,1.39,6260,-0.29
Kepler-920 c,100.8274113,0.0453941,0.407808,926,0.89,0.85,5403,0
14 And b,185.84,4.68383,0.823151,79.1766,2.15,11.38,4813,-0.24
Kepler-1130 b,5.45298175,0.00129651,0.0585387,234,0.9,0.81,5403,-0.06
Kepler-520 b,19.67416124,0.0123008,0.147232,492,1.1,1.09,6112,-0.03
Kepler-1191 b,5.60014851,0.0121297,0.0584627,876,0.85,0.81,5308,-0.08
Kepler-1012 b,5.50860439,0.00709482,0.0600079,420,0.95,0.91,5556,0.05
Kepler-1145 b,3.97076766,0.00940137,0.0453661,714,0.79,0.75,5064,-0.13
Kepler-891 b,53.44945593,0.11109,0.283142,1372,1.06,1.07,5887,0.09
Kepler-727 b,5.15448442,0.0200617,0.0561729,892,0.89,0.86,5441,-0.01
Kepler-215 b,9.360672,0.0120479,0.086925,,,1.027,5739,
Kepler-294 b,3.701212,0.0130508,0.0468277,,,0.976,5913,
WASP-88 b,4.954,0.563545,0.0643804,,1.45,2.08,6430,-0.08
Kepler-29 b,10.3376,0.0397121,0.0928723,,1,0.96,5750,0
Kepler-792 b,11.30119217,0.0144664,0.10143,1205,1.09,1.12,5971,0.08
Kepler-975 b,1.97034246,0.0112658,0.0285538,404,0.8,0.75,4897,0.07
Kepler-542 b,13.14497566,0.0117248,0.1064,439,0.93,0.9,5526,0.02
Kepler-306 b,4.646186,0.0123086,0.0544926,,,0.719,4954,
Kepler-656 b,1.26025909,0.0289572,0.0217143,867,0.86,0.82,5281,-0.04
Kepler-83 b,9.77,0.0240196,0.0778725,,0.66,0.61,4648,-0.195
Kepler-770 b,18.92540274,0.0174594,0.136148,761,0.94,0.92,5598,-0.01
Kepler-489 b,17.27629612,0.18782,0.122418,379,0.82,0.76,5014,0
81 Cet b,952.7,4.31096,2.28088,100.908,1.74,15.7275,4845,-0.07
Kepler-1204 b,85.7350285,0.0277215,0.384289,1282,1.03,1.03,5825,0.06
Kepler-1218 b,22.9221266,0.0101747,0.161019,667,1.06,1.1,5986,-0.02
Kepler-1043 b,38.5053398,0.0201979,0.217045,838,0.92,0.9,5629,-0.11
Kepler-1396 b,18.2206421,0.015383,0.1432,1236,1.18,1.27,6195,0.04
CoRoT-3 b,4.2568,21.8549,0.0573788,833.333,1.37,1.56,6740,-0.02
Kepler-377 b,12.509529,0.00915403,0.105463,,,1.224,5949,
Kepler-648 b,17.4211749,0.0309268,0.133676,665,1.05,0.98,5741,0.21
Kepler-910 b,2.36436901,0.00142986,0.0375152,402,1.26,1.5,6230,0.12
Kepler-126 d,100.283134,0.0196646,0.422434,,,1.358,6239,
Kepler-1506 b,14.0329154,0.00774372,0.11193,1318,0.95,0.93,5676,-0.05
HAT-P-38 b,4.640382,0.267569,0.0522992,249.339,0.886,0.923,5330,0.06
Kepler-1602 b,11.17931605,0.00819664,0.104553,815,1.22,1.36,6296,0.02
Kepler-18 d,14.85888,0.0516,0.117171,,0.972,1.108,5383,0.2
Kepler-1077 b,34.3511874,0.0231879,0.208178,1098,1.02,1.02,5816,0.03
Kepler-380 b,3.930821,0.00538981,0.0487448,,,1.224,6045,
Kepler-1580 b,56.6449279,0.0156727,0.328211,872,1.47,2.15,6228,0.12
HD 32963 b,2372,0.7,3.5161,36.3901,1.03,0.988525,5272,0.11
Kepler-132 d,18.010199,0.011604,0.134468,,,1.178,6003,
Kepler-228 b,2.566546,0.0125754,0.0366865,,,1.014,6043,
mu Ara e,310.54999,0.543322,0.93961,15.5111,1.147,1.25035,5784.28,0.292921
Kepler-97 b,2.58664,0.0106941,0.036125,,0.94,0.98,5779,-0.2
WASP-96 b,3.4252602,0.48,0.0453489,,1.06,1.05,5540,0.14
Kepler-1229 b,86.828989,0.00940137,0.312498,236,0.54,0.51,3784,-0.06
Kepler-518 b,8.51203588,0.0156727,0.0804858,324,0.96,0.88,5842,-0.23
Kepler-139 b,15.771044,0.0258466,0.123078,,,1.3,5594,
Kepler-952 b,130.3546919,0.182193,0.503142,1167,1,0.99,5730,0.06
Kepler-375 b,12.125934,0.010538,0.103296,,,0.837,5826,
Kepler-1285 b,14.7967458,0.00266535,0.125346,364,1.2,1.28,6170,0.16
HD 136118 b,1187.3,11.6809,2.33328,46.5766,1.191,1.75082,6097.41,-0.0502233
Kepler-182 b,9.825792,0.0206381,0.0897811,,,1.146,6250,
Kepler-1313 b,3.83309118,0.0129801,0.0466196,187,0.92,0.85,5453,0
HD 6434 b,21.997999,0.397195,0.142061,41.3736,0.79,0.80278,5835,-0.52
HD 5319 b,641,1.76545,1.6698,114,1.51,3.85,4958,0.15
Kepler-306 e,44.840975,0.0171819,0.247015,,,0.719,4954,
Kepler-1519 b,240.7989397,0.144903,0.742026,858,0.94,0.91,5644,-0.07
Kepler-253 b,3.783986,0.0121124,0.0475233,,,0.786,5208,
Kepler-259 b,8.115317,0.0236491,0.0790333,,,0.898,5938,
Kepler-1586 b,15.6049212,0.0124263,0.138326,864,1.45,1.75,6681,0.06
Kepler-1172 b,26.0204423,0.0304768,0.167139,1292,0.92,0.89,5558,-0.04
Kepler-1501 b,14.5564533,0.0116544,0.123985,888,1.2,1.3,6229,0.04
HD 231701 b,141.60001,1.08667,0.555583,118.483,1.14,1.24116,6208,0.07
Kepler-666 b,4.49876092,0.0185165,0.0538618,1330,1.03,1.05,5887,0.01
PH-2 b,282.5255,0.488198,0.825444,,0.94,1,5629,-0.078
Kepler-1027 b,1.9078052,0.00189081,0.0291727,291,0.91,0.82,5436,-0.06
CoRoT-18 b,1.9000693,3.48652,0.0295483,869.996,0.95,1,5440,-0.1
Kepler-703 b,4.58352176,0.349418,0.0570646,1482,1.18,1.27,6185,0.05
Kepler-1505 b,30.8609366,0.00225358,0.187949,359,0.93,0.86,5686,-0.18
Kepler-203 d,11.32972,0.0102988,0.0987232,,,1.114,5821,
HD 75898 b,418.20001,2.51504,1.18906,75.7576,1.28,1.54576,6021,0.27
Kepler-776 b,4.89718784,0.00688654,0.0530392,727,0.83,0.78,5071,0.05
Kepler-876 b,5.14438011,0.0101747,0.0543655,735,0.81,0.77,5060,-0.03
Kepler-224 b,3.132924,0.00915403,0.0419025,,,0.676,5018,
Kepler-1459 b,62.8691611,0.00842926,0.284837,435,0.78,0.74,4828,0.01
Kepler-710 b,4.34728553,0.0138656,0.0510655,919,0.94,0.91,5611,-0.04
Kepler-806 b,8.09219642,0.00468851,0.0786193,260,0.99,1.16,5770,0
Kepler-205 b,2.75564,0.0120453,0.038467,,,0.546,4321,
KOI-4427 b,147.6606,0.0135484,0.441345,240,0.526,0.505,3813,-0.07
Kepler-612 b,3.72215641,0.0241903,0.0466887,932,0.98,0.96,5693,0.04
MOA-2008-BLG-310L b,,0.23,1.25,,0.67,,,
KIC 11442793 g,210.60697,0.217563,0.736177,780,1.2,1.2,6080,-0.12
GJ 1214 b,1.58040482,0.0203507,0.0143253,12.9534,0.157,0.211,3026,
Kepler-824 b,4.51436633,0.0137822,0.0560063,1352,1.15,1.22,6035,0.14
Kepler-1451 b,35.622233,0.0337813,0.211879,1159,1,0.99,5782,0.01
Kepler-268 c,83.446393,0.0344212,0.373719,,,1.274,6081,
Kepler-135 c,11.448708,0.00493175,0.0994132,,,1.275,6090,
Kepler-265 c,17.028937,0.0212781,0.129538,,,1.103,5835,
Kepler-1296 b,8.3839865,0.00206633,0.0771045,631,0.87,0.83,5359,-0.04
Kepler-1480 b,22.12679948,0.0123746,0.146114,540,0.85,0.81,5156,0.07
Kepler-620 b,12.91375431,0.0330424,0.11286,1241,1.15,1.22,6155,0.03
16 Cyg B b,798.5,1.63997,1.66027,21.2134,0.956,1.1176,5674.41,0.0375072
HAT-P-25 b,3.652836,0.567181,0.0465813,297,1.01,0.959,5500,0.31
Kepler-341 e,42.473269,0.014692,0.238241,,,1.024,6012,
HD 213240 b,882.7,4.53249,1.88529,40.6339,1.143,1.3947,5967.95,0.138711
Kepler-1577 b,6.30560247,0.00452953,0.0614878,543,0.78,0.74,4862,0
Kepler-1409 b,0.76486493,0.00338324,0.0153823,722,0.83,0.79,5160,-0.03
Kepler-1352 b,1.87788275,0.00189081,0.0308432,637,1.11,1.16,6118,0
Kepler-1249 b,24.3347127,0.0182743,0.174156,1674,1.19,1.28,6202,0.06
Kepler-1269 b,37.3331536,0.0120821,0.225667,710,1.1,1.15,5998,0.07
HAT-P-45 b,3.128992,0.892,0.0452185,305,1.259,1.319,6330,0.07
Kepler-399 b,14.425281,0.00252018,0.115973,,,0.68,5502,
Kepler-341 c,8.01041,0.012573,0.0783507,,,1.024,6012,
Kepler-925 b,33.8678531,0.017919,0.187771,623,0.77,0.72,4673,0.12
Kepler-265 d,43.130617,0.0195472,0.240693,,,1.103,5835,
Kepler-677 b,6.57531678,0.0964436,0.0686885,1180,1,0.99,5723,0.06
HD 33844 b,551.4,1.96,1.59543,100.908,1.78,5.29,4861,0.27
Kepler-243 c,20.026218,0.014692,0.144324,,,0.842,5228,
Kepler-561 b,58.3620495,0.139169,0.290481,667,0.96,0.94,5646,0.02
HD 12661 b,262.70861,2.3408,0.838172,34.9528,1.136,1.06782,5742.75,0.362341
Kepler-467 b,24.99324193,0.0170154,0.17004,458,1.05,1.37,5809,0.06
Kepler-1107 b,0.57103852,0.00819664,0.01281,457,0.86,0.82,5268,0.01
Kepler-9 c,38.90861,0.168671,0.22473,,1,1.1,,0.17
HD 74156 c,2520,8.24664,3.8997,64.433,1.238,1.345,6067.98,0.130772
Kepler-165 c,15.31299,0.0167934,0.120683,,,0.77,5211,
Kepler-790 b,13.73469807,0.0162741,0.105904,727,0.84,0.8,5208,-0.05
Kepler-326 d,6.766888,0.0057099,0.0700163,,,0.801,5105,
HD 20794 c,40.114,0.00743617,0.203628,6.05987,0.7,1.22683,5401,-0.4
WASP-47 c,572,1.23683,1.36067,200,1.026,1.15,5576,0.36
Kepler-31 c,42.6318,0.0577969,0.254502,,1.21,1.22,6340,-0.076
Kepler-82 b,26.444,0.0517963,0.16455,,0.85,0.9,5512,-0.014
Kepler-573 b,22.18329658,0.0235163,0.153993,758,0.99,1.02,5746,0.02
Kepler-1288 b,2.76122421,0.00437411,0.0409325,715,1.2,1.29,6132,0.14
Kepler-306 c,7.240193,0.0179955,0.0732442,,,0.719,4954,
Kepler-1484 b,30.4549136,0.0156727,0.186962,1095,0.94,0.92,5730,-0.17
Kepler-85 e,25.216751,0.00674351,0.168293,,,0.893,5436,
Kepler-583 b,6.5100253,0.0172355,0.0668402,805,0.94,0.91,5523,0.07
Kepler-610 b,6.99692655,0.0576809,0.0739053,1113,1.1,1.13,5943,0.12
HD 38801 b,696.3,10.0105,1.6471,90.7441,1.22,2.24501,5314,0.25
Kepler-964 b,13.5225106,0.0157709,0.108427,478,0.93,0.84,5427,0.03
HD 132563 B b,1544,1.49247,2.62431,96.0615,1.01,,5985,-0.19
Kepler-1227 b,94.2887577,0.0173469,0.401332,667,0.97,0.95,5747,-0.04
Kepler-351 d,142.544247,0.0225477,0.513692,0,0.89,0.85,5643,-0.134
Kepler-390 c,13.060022,0.00126334,0.108535,,,0.776,5166,
Kepler-61 b,59.87756,0.0160339,0.257458,,0.635,0.62,4017,0.03
Kepler-1486 b,54.6495759,0.0176872,0.28916,1465,1.08,1.12,5965,0.06
Kepler-803 b,50.28638192,0.0450611,0.271,615,1.05,1.12,5919,0.02
GJ 667 C c,28.1,0.0130687,0.125003,7.23589,0.33,,3350,-0.55
HD 207832 c,1155.7,0.730294,2.1118,54.4366,0.94,0.901,5710,0.06
Kepler-80 b,7.053,0.0222358,0.0645109,,0.72,0.65,4613,-0.562
Kepler-1462 b,65.6488341,0.0460671,0.318487,1368,1,1,5756,0.06
Kepler-886 b,6.24146367,0.0124263,0.0684849,857,1.1,1.16,6098,-0.01
Kepler-1468 c,3.54553021,0.00485109,0.046104,1130,1.04,1.05,5893,0.03
Kepler-272 d,10.937304,0.0169862,0.0964303,,,0.929,5297,
Kepler-1544 b,168.811174,0.0131362,0.557231,349,0.81,0.74,4886,0.02
Kepler-44 b,3.24674,1.02109,0.0454854,2250.02,1.19,1.52,5757,0.26
HD 5891 b,177.11,5.22845,0.636168,251,1.09,11.8348,4825,-0.38
Kepler-292 b,2.580827,0.00769114,0.0368224,,,0.826,5299,
Kepler-228 d,11.094286,0.0531048,0.0973508,,,1.014,6043,
Kepler-1000 b,120.0181272,0.0750581,0.532697,925,1.4,1.51,6453,0.35
Kepler-140 b,3.25427,0.0119837,0.0429776,,,1.288,6077,
Kepler-245 d,36.277108,0.0273861,0.214468,,,0.795,5100,
Kepler-884 b,5.69919514,0.00609283,0.0624428,420,1,0.94,5715,0.05
Kepler-1073 c,4.02582254,0.0121546,0.0495271,837,1,1,5792,0
Kepler-908 b,1.34059747,0.00590412,0.0246365,250,1.11,1.12,5973,0.15
HD 173416 b,323.6,2.71808,1.16272,139.47,2,14.3919,4683,-0.22
Kepler-1379 b,0.88184115,0.00730709,0.0169132,951,0.83,0.79,5188,-0.04
Kepler-104 c,23.668205,0.0292202,0.161331,,,1.349,5711,
Kepler-263 b,16.568087,0.0218083,0.127191,,,0.785,5265,
Kepler-1008 b,12.43931193,0.00688654,0.0979413,299,0.81,0.78,5066,-0.01
Kepler-278 c,51.078775,0.0395346,0.269422,,,2.935,4991,
Kepler-1587 b,9.4060467,0.00796813,0.0894717,907,1.08,1.22,5933,0.07
Kepler-1569 b,5.79180156,0.0124487,0.0679911,1050,1.25,1.4,6319,0.06
Kepler-1273 b,28.625653,0.0195285,0.179399,1355,0.94,0.91,5566,0.03
Kepler-1365 c,4.77468005,0.00129651,0.0554927,541,1,1.05,5770,0.03
HD 76700 b,3.97097,0.232142,0.0511051,60.2773,1.129,1.2353,5668.45,0.34543
Kepler-366 b,3.281959,0.0107805,0.043221,,,1.048,6209,
HD 39091 b,2151,10.088,3.34651,18.315,1.071,1.14999,5949.91,0.048326
Kepler-1636 b,425.47785,0.0311545,1.11079,1567,1.01,1.02,5797,0.03
Kepler-1068 b,16.92344113,0.0406377,0.129431,1532,1.01,1.01,5806,0.03
Kepler-596 b,21.30022655,0.0363708,0.160247,1083,1.21,1.32,6267,0.03
HD 7449 b,1275,1.3131,2.33982,38.5208,1.05,0.952526,6024,-0.11
HD 149026 b,2.8758911,0.361471,0.0431325,79.4281,1.294,1.368,6160,0.36
Kepler-186 b,3.8867907,0.00370062,0.0378277,151,0.478,0.472,3788,-0.28
Kepler-219 c,22.714613,0.0392746,0.156968,,,1.491,5786,
OGLE-2006-BLG-109L c,4927.5,0.271,4.52773,1510,0.51,,,
Kepler-561 c,5.35016198,0.0219292,0.0590575,667,0.96,0.94,5646,0.02
Kepler-1240 b,4.8663815,0.00485109,0.0558238,614,0.98,0.96,5682,0.04
Kepler-361 c,55.188023,0.0199023,0.283685,,,1.343,6169,
Kepler-265 e,67.831024,0.0207641,0.325506,,,1.103,5835,
Qatar-2 b,1.3371182,2.48409,0.0215077,,0.74,0.713,4645,0
Kepler-1448 b,12.27065865,0.0120099,0.102351,786,0.95,0.93,5774,-0.16
Kepler-293 b,19.254196,0.0281036,0.140591,,,0.957,5804,
Kepler-166 b,7.650254,0.0171819,0.0759843,,,0.742,5413,
Kepler-1551 b,24.4973698,0.021628,0.172447,1560,1.14,1.22,6136,0.01
HD 216437 b,1353,2.16817,2.48556,26.7451,1.117,1.36865,5848.71,0.224954
Kepler-1052 b,34.8538276,0.0256089,0.210888,1051,1.03,1.03,5888,0
HAT-P-49 b,2.691548,1.72959,0.0437742,,1.543,1.833,6820,0.074
Kepler-623 b,9.07097734,0.0271261,0.0821845,811,0.9,0.86,5443,-0.03
Kepler-1621 b,92.263714,0.0161718,0.418658,1461,1.15,1.24,6158,0.03
Kepler-367 c,53.578637,0.00554835,0.278143,,,0.695,4710,
Kepler-313 b,14.970418,0.0200225,0.118876,,,1.536,5727,
Kepler-1439 b,8.07392849,0.0107116,0.0608017,215,0.46,0.43,3578,-0.03
Kepler-150 c,7.381998,0.0422294,0.0741975,,,0.939,5560,
Kepler-87 b,114.73635,1.02004,0.477022,,1.1,1.82,5600,-0.17
